slug,display_name,description
big-tech,Big Tech,Established large technology companies
startup-tech,Startup Tech,Growth-stage technology companies
fintech,Fintech,Financial technology and trading
hft-trading,Quant & HFT,Quantitative finance and high-frequency trading
ai-research,AI Research,Frontier AI research and labs
e-commerce,E-Commerce,Online retail and marketplace
entertainment,Entertainment,"Media, streaming, and gaming"
mobility,Mobility,Transportation technology
aerospace,Aerospace,Space and defense technology
enterprise-saas,Enterprise SaaS,B2B software platforms
creative-tools,Creative Tools,Design and creative software
semiconductors,Semiconductors,Chip design and hardware
social,Social,Social media and consumer apps
data-analytics,Data & Analytics,Data infrastructure and analytics
biotech,Biotech,Biotechnology and health tech
consulting,Consulting,Strategy and management consulting
